step 47 dis: 0.23647062480449677,reward: 0.018179435282945633, std: 0.1
step 48 dis: 0.2375633865594864,reward: 0.01782347820699215, std: 0.1
step 44 dis: 0.23616504669189453,reward: 0.018316350877285004, std: 0.1
step 45 dis: 0.23615092039108276,reward: 0.01827942579984665, std: 0.1
step 46 dis: 0.23646891117095947,reward: 0.018139898777008057, std: 0.1
step 47 dis: 0.23731641471385956,reward: 0.017836418002843857, std: 0.1
step 48 dis: 0.23725278675556183,reward: 0.017804251983761787, std: 0.1
step 49 dis: 0.23560166358947754,reward: 0.018528789281845093, std: 0.1
step 49 dis: 0.2366001307964325,reward: 0.01812395080924034, std: 0.1
step 50 dis: 0.2359595000743866,reward: 0.018375054001808167, std: 0.1
step 50 dis: 0.23582816123962402,reward: 0.01842397451400757, std: 0.1
step 51 dis: 0.23592346906661987,reward: 0.018428869545459747, std: 0.1
step 51 dis: 0.23632904887199402,reward: 0.018247392028570175, std: 0.1
step 52 dis: 0.2356000542640686,reward: 0.018547357991337776, std: 0.1
step 52 dis: 0.2347092181444168,reward: 0.01890389807522297, std: 0.1
step 53 dis: 0.23561394214630127,reward: 0.018510514870285988, std: 0.1
step 53 dis: 0.2358628213405609,reward: 0.018384676426649094, std: 0.1
step 54 dis: 0.2354143261909485,reward: 0.018644016236066818, std: 0.1
step 54 dis: 0.23586837947368622,reward: 0.018517065793275833, std: 0.1
step 55 dis: 0.23545287549495697,reward: 0.018542028963565826, std: 0.1
step 55 dis: 0.23466211557388306,reward: 0.01877346634864807, std: 0.1
step 56 dis: 0.23568937182426453,reward: 0.018455013632774353, std: 0.1
step 56 dis: 0.2341485619544983,reward: 0.01897459849715233, std: 0.1
step 57 dis: 0.2360752820968628,reward: 0.01839086413383484, std: 0.1
step 57 dis: 0.23565629124641418,reward: 0.018554963171482086, std: 0.1
step 58 dis: 0.2357347309589386,reward: 0.018528249114751816, std: 0.1
step 58 dis: 0.2348877638578415,reward: 0.018825307488441467, std: 0.1
step 59 dis: 0.23475632071495056,reward: 0.018820755183696747, std: 0.1
step 59 dis: 0.23482605814933777,reward: 0.01870856061577797, std: 0.1
step 60 dis: 0.2340114414691925,reward: 0.019145578145980835, std: 0.1
step 60 dis: 0.23541709780693054,reward: 0.018514160066843033, std: 0.1
step 61 dis: 0.23539236187934875,reward: 0.018637143075466156, std: 0.1
step 61 dis: 0.23535695672035217,reward: 0.01844906434416771, std: 0.1
step 62 dis: 0.23489975929260254,reward: 0.018822669982910156, std: 0.1
step 62 dis: 0.23518279194831848,reward: 0.018557578325271606, std: 0.1
step 63 dis: 0.23451833426952362,reward: 0.0188676118850708, std: 0.1
step 63 dis: 0.23508189618587494,reward: 0.018683835864067078, std: 0.1
step 64 dis: 0.234544038772583,reward: 0.01903129369020462, std: 0.1
step 65 dis: 0.2346775233745575,reward: 0.01890319585800171, std: 0.1
step 64 dis: 0.23598754405975342,reward: 0.018422968685626984, std: 0.1
step 65 dis: 0.2350691854953766,reward: 0.018746808171272278, std: 0.1
step 66 dis: 0.23570558428764343,reward: 0.018491925671696663, std: 0.1
step 67 dis: 0.23574024438858032,reward: 0.01853933371603489, std: 0.1
step 66 dis: 0.23465596139431,reward: 0.01894095167517662, std: 0.1
step 68 dis: 0.23498019576072693,reward: 0.01875200867652893, std: 0.1
step 67 dis: 0.2352081686258316,reward: 0.018632851541042328, std: 0.1
step 69 dis: 0.23594102263450623,reward: 0.01838977076113224, std: 0.1
step 68 dis: 0.23479557037353516,reward: 0.018854554742574692, std: 0.1
step 70 dis: 0.23469801247119904,reward: 0.018847554922103882, std: 0.1
step 69 dis: 0.23593959212303162,reward: 0.018378764390945435, std: 0.1
step 71 dis: 0.23504826426506042,reward: 0.018665092065930367, std: 0.1
step 70 dis: 0.23566725850105286,reward: 0.01841551437973976, std: 0.1
step 72 dis: 0.23453116416931152,reward: 0.018955135717988014, std: 0.1
step 71 dis: 0.23525919020175934,reward: 0.01868399977684021, std: 0.1
step 72 dis: 0.23471081256866455,reward: 0.01884903386235237, std: 0.1
step 73 dis: 0.23412194848060608,reward: 0.01911063864827156, std: 0.1
step 73 dis: 0.23377154767513275,reward: 0.01925548166036606, std: 0.1
step 74 dis: 0.23373374342918396,reward: 0.019177883863449097, std: 0.1
step 74 dis: 0.23444929718971252,reward: 0.01902017742395401, std: 0.1
step 75 dis: 0.23242324590682983,reward: 0.01966702938079834, std: 0.1
step 75 dis: 0.2338283807039261,reward: 0.019291814416646957, std: 0.1
step 76 dis: 0.23244258761405945,reward: 0.019765738397836685, std: 0.1
step 76 dis: 0.23410086333751678,reward: 0.01910391077399254, std: 0.1
step 77 dis: 0.23136228322982788,reward: 0.02023908495903015, std: 0.1
step 77 dis: 0.23275592923164368,reward: 0.01949005387723446, std: 0.1
step 78 dis: 0.23283693194389343,reward: 0.019548071548342705, std: 0.1
step 78 dis: 0.2315877228975296,reward: 0.019987057894468307, std: 0.1
